,,sfh_0,sfh_1,sfh_2,zh_0,zh_1,zh_2,sigma,logL,logL_birth,nlive
labels,,$sfh_0$,$sfh_1$,$sfh_2$,$zh_0$,$zh_1$,$zh_2$,$\sigma$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,
139,0.0,1.24242,5.360754,4.58698,0.0030434027,0.0052950303,0.017350566,9.472869e-06,27635.393,10698.625,61
140,0.0,3.5141761,7.1811347,11.007066,0.004289443,0.008025455,0.019614263,7.838587e-06,28904.432,10698.625,60
141,0.0,8.900186,2.219551,7.213159,0.014011975,0.017913107,0.0020807046,7.606715e-06,29195.26,,59
142,0.0,3.6939352,6.344487,9.490636,0.00023060746,0.01773032,0.010050742,6.665531e-06,29906.896,10698.625,58
143,0.0,6.5239196,3.4425347,9.631001,0.011087499,0.00026077198,0.01914233,6.135082e-06,30331.883,-55371.668,57
144,0.0,6.816064,10.875694,0.7276779,0.0064494545,0.00020577137,0.014370987,9.835596e-06,30464.266,,56
145,0.0,9.909841,10.322172,2.5210195,0.007436761,0.002534844,0.0037206998,7.614845e-06,31136.28,-55371.668,55
146,0.0,7.058817,8.250435,4.076478,0.008772402,0.019972142,0.008044799,9.625823e-06,31305.965,,54
147,0.0,11.35028,4.1814303,4.327116,0.0022476723,0.016916694,0.00337757,9.879605e-06,31819.617,10698.625,53
148,0.0,0.8198873,0.7312681,7.8448963,0.012492506,0.001690046,0.0088363765,7.568155e-06,32360.152,10698.625,52
149,0.0,1.1731715,5.3461947,10.4040575,0.0011344205,0.013109678,0.012095528,6.4765677e-06,32531.648,10698.625,51
150,0.0,5.557382,4.3373,8.895919,0.015540725,0.0018720077,0.0020297247,5.6606596e-06,32646.996,32531.648,100
151,0.0,10.00488,9.061543,3.4563692,0.015006335,0.007389147,0.0066220835,8.913578e-06,32777.7,32531.648,99
152,0.0,10.673549,7.78924,5.724203,0.018500583,0.0012047406,0.016817568,7.982176e-06,32799.375,32531.648,98
153,0.0,3.6871376,3.8135862,8.853558,0.008854658,0.0027591302,0.010053301,6.054012e-06,32838.312,10698.625,97
154,0.0,1.8380911,7.653687,5.5522904,0.013536719,0.012967236,0.0044514695,8.128046e-06,32909.637,10698.625,96
155,0.0,1.2857249,11.861602,6.8245554,0.016917482,0.0156124,0.010250272,8.246474e-06,32989.09,10698.625,95
156,0.0,0.25623876,2.276505,6.3756366,0.0010711619,0.0116653275,0.006237271,9.883206e-06,33537.76,32531.648,94
157,0.0,1.7552361,5.365213,8.335321,0.010445584,0.013594656,0.017650621,7.2854705e-06,33561.01,32531.648,93
158,0.0,5.235583,0.6573346,8.06569,0.008136467,0.01805759,0.009716551,8.613272e-06,33745.246,10698.625,92
159,0.0,3.490247,7.1121497,6.678744,0.0011761556,0.009909861,0.0023769874,6.9359476e-06,33927.082,-55371.668,91
160,0.0,10.936564,10.0168495,5.6085253,0.018293617,0.017016977,0.009644036,9.003268e-06,34215.426,,90
161,0.0,3.7678921,3.295954,9.986939,0.007981028,0.012705904,0.0034828265,6.3199627e-06,34470.66,32531.648,89
162,0.0,9.049748,6.1478405,10.091014,0.008432021,0.009831219,0.005133593,9.302412e-06,34528.758,10698.625,88
163,0.0,4.4364347,1.4452187,8.657881,0.0037121745,0.011226057,0.017761288,7.675987e-06,34786.176,10698.625,87
164,0.0,0.7904621,0.6030049,10.399275,0.015128733,0.016896794,0.0017284396,6.0027905e-06,35094.527,,86
165,0.0,4.7348757,9.309589,5.67805,0.0002698412,0.013175816,0.013297715,8.320623e-06,35155.832,32531.648,85
166,0.0,9.894489,8.121467,7.831203,0.008549794,0.018374743,0.019568142,8.649499e-06,35209.195,32531.648,84
167,0.0,1.3111066,7.049988,4.272824,0.0044991146,0.0029746986,0.01550994,9.717706e-06,35241.633,32531.648,83
168,0.0,10.597328,11.2012615,5.282595,0.011558953,0.010379748,0.008602315,9.300225e-06,35291.29,32531.648,82
